T_ONTIME_MARKETING 4
YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,AIR_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2236,11298,DFW,11066,CMH,1505,1503,-2.00,0.00,0.00,-1,13.00,1516,1803,6.00,1822,1809,-13.00,0.00,0.00,-1,0.00,,107.00,926.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,2253,11042,CLE,11298,DFW,647,646,-1.00,0.00,0.00,-1,11.00,657,845,9.00,904,854,-10.00,0.00,0.00,-1,0.00,,168.00,1021.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,415,11057,CLT,11066,CMH,2227,2247,20.00,20.00,1.00,1,18.00,2305,2,4.00,2347,6,19.00,19.00,1.00,1,0.00,,57.00,347.00,13.00,0.00,0.00,0.00,6.00
2018,12,1,6,12/1/2018 12:00:00 AM,AA,421,11066,CMH,11057,CLT,500,457,-3.00,0.00,0.00,-1,12.00,509,603,5.00,624,608,-16.00,0.00,0.00,-2,0.00,,54.00,347.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,479,11066,CMH,14107,PHX,725,714,-11.00,0.00,0.00,-1,16.00,730,928,22.00,1008,950,-18.00,0.00,0.00,-2,0.00,,238.00,1670.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,552,12892,LAX,11066,CMH,957,952,-5.00,0.00,0.00,-1,22.00,1014,1658,5.00,1718,1703,-15.00,0.00,0.00,-1,0.00,,224.00,1995.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,771,11042,CLE,14100,PHL,1440,1425,-15.00,0.00,0.00,-1,23.00,1448,1541,8.00,1611,1549,-22.00,0.00,0.00,-2,0.00,,53.00,363.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AA,771,14100,PHL,11042,CLE,1230,1223,-7.00,0.00,0.00,-1,15.00,1238,1347,5.00,1400,1352,-8.00,0.00,0.00,-1,0.00,,69.00,363.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4600,11042,CLE,13930,ORD,1229,1221,-8.00,0.00,0.00,-1,24.00,1245,1254,17.00,1257,1311,14.00,14.00,0.00,0,0.00,,69.00,315.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4610,10874,CAK,13930,ORD,1421,1444,23.00,23.00,1.00,1,15.00,1459,1533,13.00,1455,1546,51.00,51.00,1.00,3,0.00,,94.00,343.00,0.00,0.00,28.00,0.00,23.00
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4612,10874,CAK,13930,ORD,620,615,-5.00,0.00,0.00,-1,16.00,631,657,8.00,653,705,12.00,12.00,0.00,0,0.00,,86.00,343.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4614,10874,CAK,13930,ORD,1110,1105,-5.00,0.00,0.00,-1,13.00,1118,1157,11.00,1143,1208,25.00,25.00,1.00,1,0.00,,99.00,343.00,0.00,0.00,25.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4672,13930,ORD,10874,CAK,1125,1145,20.00,20.00,1.00,1,31.00,1216,1414,9.00,1351,1423,32.00,32.00,1.00,2,0.00,,58.00,343.00,20.00,0.00,12.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4722,13930,ORD,11066,CMH,1135,1128,-7.00,0.00,0.00,-1,14.00,1142,1339,5.00,1355,1344,-11.00,0.00,0.00,-1,0.00,,57.00,296.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4736,13930,ORD,10874,CAK,745,742,-3.00,0.00,0.00,-1,17.00,759,1008,2.00,1011,1010,-1.00,0.00,0.00,-1,0.00,,69.00,343.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4763,13930,ORD,11042,CLE,625,623,-2.00,0.00,0.00,-1,26.00,649,844,6.00,845,850,5.00,5.00,0.00,0,0.00,,55.00,315.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4778,13930,ORD,10874,CAK,1757,,,,,,,,,,2023,,,,,,1.00,A,,343.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,AX,4786,11066,CMH,13930,ORD,1431,1425,-6.00,0.00,0.00,-1,7.00,1432,1500,12.00,1453,1512,19.00,19.00,1.00,1,0.00,,88.00,296.00,0.00,0.00,19.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,B6,1840,11042,CLE,10721,BOS,545,545,0.00,0.00,0.00,0,13.00,558,710,11.00,724,721,-3.00,0.00,0.00,-1,0.00,,72.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,1841,10721,BOS,11042,CLE,2159,2200,1.00,1.00,0.00,0,11.00,2211,2344,7.00,2359,2351,-8.00,0.00,0.00,-1,0.00,,93.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,640,11042,CLE,10721,BOS,1913,1905,-8.00,0.00,0.00,-1,14.00,1919,2033,4.00,2051,2037,-14.00,0.00,0.00,-1,0.00,,74.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,641,10721,BOS,11042,CLE,1630,1636,6.00,6.00,0.00,0,12.00,1648,1822,7.00,1838,1829,-9.00,0.00,0.00,-1,0.00,,94.00,563.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,657,11042,CLE,11697,FLL,650,645,-5.00,0.00,0.00,-1,13.00,658,926,6.00,942,932,-10.00,0.00,0.00,-1,0.00,,148.00,1062.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,B6,658,11697,FLL,11042,CLE,1950,1946,-4.00,0.00,0.00,-1,12.00,1958,2206,9.00,2239,2215,-24.00,0.00,0.00,-2,0.00,,128.00,1062.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,C5,4882,11618,EWR,11042,CLE,1245,1321,36.00,36.00,1.00,2,25.00,1346,1501,9.00,1425,1510,45.00,45.00,1.00,3,0.00,,75.00,404.00,28.00,0.00,9.00,0.00,8.00
2018,12,1,6,12/1/2018 12:00:00 AM,C5,4892,11042,CLE,11618,EWR,1900,1908,8.00,8.00,0.00,0,15.00,1923,2027,9.00,2046,2036,-10.00,0.00,0.00,-1,0.00,,64.00,404.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,C5,4908,11618,EWR,11066,CMH,1145,1134,-11.00,0.00,0.00,-1,17.00,1151,1314,4.00,1341,1318,-23.00,0.00,0.00,-2,0.00,,83.00,463.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,C5,4913,11042,CLE,12264,IAD,1039,1033,-6.00,0.00,0.00,-1,12.00,1045,1140,8.00,1150,1148,-2.00,0.00,0.00,-1,0.00,,55.00,288.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,C5,4941,11066,CMH,11618,EWR,1415,1404,-11.00,0.00,0.00,-1,14.00,1418,1530,13.00,1611,1543,-28.00,0.00,0.00,-2,0.00,,72.00,463.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,C5,4949,12264,IAD,11042,CLE,825,820,-5.00,0.00,0.00,-1,14.00,834,929,4.00,939,933,-6.00,0.00,0.00,-1,0.00,,55.00,288.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1069,10397,ATL,11066,CMH,840,839,-1.00,0.00,0.00,-1,12.00,851,1000,4.00,1011,1004,-7.00,0.00,0.00,-1,0.00,,69.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1077,10397,ATL,11066,CMH,1456,1451,-5.00,0.00,0.00,-1,10.00,1501,1611,11.00,1627,1622,-5.00,0.00,0.00,-1,0.00,,70.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1151,10397,ATL,11066,CMH,1927,1933,6.00,6.00,0.00,0,15.00,1948,2050,6.00,2057,2056,-1.00,0.00,0.00,-1,0.00,,62.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1152,10397,ATL,11066,CMH,1211,1209,-2.00,0.00,0.00,-1,13.00,1222,1331,3.00,1339,1334,-5.00,0.00,0.00,-1,0.00,,69.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1158,10397,ATL,11042,CLE,1455,1454,-1.00,0.00,0.00,-1,14.00,1508,1620,8.00,1639,1628,-11.00,0.00,0.00,-1,0.00,,72.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1158,11042,CLE,10397,ATL,1724,1729,5.00,5.00,0.00,0,10.00,1739,1913,21.00,1915,1934,19.00,19.00,1.00,1,0.00,,94.00,554.00,0.00,0.00,19.00,0.00,0.00
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1161,10397,ATL,11267,DAY,1400,1359,-1.00,0.00,0.00,-1,14.00,1413,1512,5.00,1531,1517,-14.00,0.00,0.00,-1,0.00,,59.00,432.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1161,11267,DAY,10397,ATL,1620,1614,-6.00,0.00,0.00,-1,21.00,1635,1759,10.00,1813,1809,-4.00,0.00,0.00,-1,0.00,,84.00,432.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1327,11066,CMH,12892,LAX,626,717,51.00,51.00,1.00,3,9.00,726,849,7.00,845,856,11.00,11.00,0.00,0,0.00,,263.00,1995.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1521,10397,ATL,11267,DAY,1000,957,-3.00,0.00,0.00,-1,14.00,1011,1110,5.00,1133,1115,-18.00,0.00,0.00,-2,0.00,,59.00,432.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1521,11267,DAY,10397,ATL,1220,1214,-6.00,0.00,0.00,-1,11.00,1225,1354,10.00,1415,1404,-11.00,0.00,0.00,-1,0.00,,89.00,432.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1523,11066,CMH,10397,ATL,1350,1348,-2.00,0.00,0.00,-1,12.00,1400,1518,7.00,1537,1525,-12.00,0.00,0.00,-1,0.00,,78.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1607,11066,CMH,13487,MSP,637,634,-3.00,0.00,0.00,-1,11.00,645,718,4.00,755,722,-33.00,0.00,0.00,-2,0.00,,93.00,626.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1736,10397,ATL,11066,CMH,2223,2218,-5.00,0.00,0.00,-1,13.00,2231,2333,5.00,2354,2338,-16.00,0.00,0.00,-2,0.00,,62.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,1743,11042,CLE,10397,ATL,810,808,-2.00,0.00,0.00,-1,19.00,827,1000,10.00,1015,1010,-5.00,0.00,0.00,-1,0.00,,93.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2197,11066,CMH,10397,ATL,600,556,-4.00,0.00,0.00,-1,13.00,609,723,7.00,733,730,-3.00,0.00,0.00,-1,0.00,,74.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2261,11267,DAY,10397,ATL,600,557,-3.00,0.00,0.00,-1,15.00,612,731,5.00,741,736,-5.00,0.00,0.00,-1,0.00,,79.00,432.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2306,10397,ATL,11267,DAY,2127,2123,-4.00,0.00,0.00,-1,11.00,2134,2244,9.00,2300,2253,-7.00,0.00,0.00,-1,0.00,,70.00,432.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2419,11066,CMH,10397,ATL,710,706,-4.00,0.00,0.00,-1,12.00,718,844,9.00,843,853,10.00,10.00,0.00,0,0.00,,86.00,447.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2528,10397,ATL,11042,CLE,1234,1235,1.00,1.00,0.00,0,11.00,1246,1356,7.00,1414,1403,-11.00,0.00,0.00,-1,0.00,,70.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2528,11042,CLE,10397,ATL,1500,1455,-5.00,0.00,0.00,-1,11.00,1506,1642,7.00,1649,1649,0.00,0.00,0.00,0,0.00,,96.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2529,10397,ATL,11042,CLE,2225,2233,8.00,8.00,0.00,0,10.00,2243,2353,8.00,12,1,-11.00,0.00,0.00,-1,0.00,,70.00,554.00,,,,,
2018,12,1,6,12/1/2018 12:00:00 AM,DL,2636,11042,CLE,10397,ATL,600,555,-5.00,0.00,0.00,-1,11.00,606,729,7.00,756,736,-20.00,0.00,0.00,-2,0.00,,83.00,554.00,,,,,
